@relation 'classificacao_imagem-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute vetor_caracteristica_0 numeric
@attribute vetor_caracteristica_4 numeric
@attribute vetor_caracteristica_20 numeric
@attribute vetor_caracteristica_21 numeric
@attribute vetor_caracteristica_25 numeric
@attribute vetor_caracteristica_36 numeric
@attribute vetor_caracteristica_41 numeric
@attribute vetor_caracteristica_42 numeric
@attribute vetor_caracteristica_46 numeric
@attribute vetor_caracteristica_58 numeric
@attribute vetor_caracteristica_59 numeric
@attribute vetor_caracteristica_62 numeric
@attribute vetor_caracteristica_63 numeric
@attribute vetor_caracteristica_68 numeric
@attribute vetor_caracteristica_84 numeric
@attribute vetor_caracteristica_85 numeric
@attribute vetor_caracteristica_105 numeric
@attribute vetor_caracteristica_106 numeric
@attribute vetor_caracteristica_127 numeric
@attribute histogram_acc0 numeric
@attribute histogram_acc16 numeric
@attribute histogram_acc40 numeric
@attribute histogram_acc43 numeric
@attribute histogram_acc47 numeric
@attribute histogram_acc57 numeric
@attribute histogram_acc63 numeric
@attribute classes {Acer-campestre,Acer-monspessulanum,Acer-negundo,Albizia-julibrissin,Alnus-cordata,Arbutus-unedo,Betula-pendula,Broussonetia-papyrifera,Buddleja-davidii,Buxus-sempervirens,Carpinus-betulus,Castanea-sativa,Celtis-australis,Cerasus-mahaleb,Corylus-avellana,Cotinus-coggygria,Crataegus-azarolus,Crataegus-monogyna,Daphne-cneorum,Diospyros-kaki,Euphorbia-characias,Ficus-carica,Fraxinus-angustifolia,Ginkgo-biloba,Hedera-helix,Ilex-aquifolium,Juniperus-oxycedrus,Laurus-nobilis,Nerium-oleander,Olea-europaea,Paliurus-spina-christi,Pistacia-lentiscus,Pistacia-terebinthus,Pittosporum-tenuifolium,Pittosporum-tobira,Platanus-x,Populus-alba,Populus-nigra,Populus-tremula,Prunus-laurocerasus,Punica-granatum,Quercus-coccifera,Quercus-ilex,Quercus-petraea,Quercus-pubescens,Rhamnus-alaternus,Rhus-coriaria,Robinia-pseudoacacia,Ruscus-aculeatus,Syringa-vulgaris,Ulmus-minor,Viburnum-tinus,Vitex-agnus-castus}

@data
57052,89702,30760,7907,872,0,1201,2428,490,71,0,853,5481,80033,4220,568,40,760,168969,117075,26,0,0,5,0,174450,Corylus-avellana
20998,35831,5984,1137,658,0,788,1373,507,21,1,773,5130,134077,1617,37,0,89,232812,29434,53,0,3,8,0,237942,Corylus-avellana
35753,51287,7244,878,777,4,1264,1061,459,35,0,1075,4933,103626,2088,18,26,10,217921,57187,9,79,1,6,3,222854,Corylus-avellana
17001,32785,9437,1303,816,6,1097,1822,553,8,0,837,4724,128300,3623,91,17,318,202729,33783,25,1,9,53,0,207453,Corylus-avellana
46417,41130,3281,1120,564,0,816,1396,366,7,0,734,4883,26738,951,36,9,127,270207,132236,17,6,4,30,1,275090,Corylus-avellana
2576,11552,86301,45661,6420,1,4858,1425,75,134,0,1011,5206,88,56328,7183,224,25,209602,2577,25,10,0,0,0,214808,Corylus-avellana
34953,39464,5097,1377,969,2,1112,1983,704,12,0,1027,4918,67764,1833,175,48,741,242399,90639,4,10,9,74,0,247317,Corylus-avellana
46407,39174,3745,1981,522,0,700,2103,334,29,4,524,5102,20596,1023,196,18,862,277078,154537,103,0,24,86,0,282180,Corylus-avellana
879,45264,45038,205,1081,1,2565,557,673,19,0,1821,5082,62891,81549,2,337,1,249410,901,2,126,0,0,4,254492,Corylus-avellana
7072,54047,40531,1108,1102,0,1612,1016,450,30,0,1285,5112,86063,39267,15,22,1,252392,7329,30,6,0,1,0,257504,Corylus-avellana
18882,71260,63533,8519,3221,0,1013,1406,263,9,15,420,5313,31041,28650,191,50,30,230057,24031,3,4,17,5,0,235370,Corylus-avellana
0,1379,10952,1224,2612,2,1583,876,498,12,0,947,4930,2,226057,15,28,2,194257,0,0,17,0,1,0,199187,Corylus-avellana
7,6227,19092,898,3107,0,2612,1102,761,30,0,1405,4899,1535,183084,53,254,8,204832,7,0,27,1,0,0,209731,Corylus-avellana
258,27061,46797,2342,2831,2,1827,943,463,12,0,1150,5246,11094,162531,57,41,8,220186,261,4,11,0,0,0,225432,Corylus-avellana
5485,12016,81729,34986,1985,0,1944,1720,123,87,0,955,6305,388,189714,2755,12,46,249660,5758,35,2,0,0,0,255965,Corylus-avellana
189,61937,67921,261,1559,0,2232,767,720,74,0,1941,5789,55503,103590,0,85,3,271942,268,4,9,0,0,0,277731,Corylus-avellana
48168,51328,5173,1060,848,3,1226,1737,621,17,0,991,5046,61994,1775,57,22,418,261455,109539,2,70,19,63,0,266501,Corylus-avellana
2700,41040,42810,638,1051,41,1771,723,464,24,0,1315,5108,70531,106431,7,46,0,242840,3543,0,260,0,0,2,247948,Corylus-avellana
54,26993,27958,386,344,2,1088,535,235,6,0,562,4129,31617,17350,0,64,1,220251,58,3,395,1,3,12,224380,Cotinus-coggygria
7244,18324,6351,473,318,124,434,670,356,25,1,526,4585,142179,1367,4,0,32,304717,9058,315,3,0,11,0,309302,Cotinus-coggygria
38153,53063,6336,866,285,76,338,752,137,53,5,309,4479,59995,1106,2,0,6,258026,51365,904,34,20,6,0,262505,Cotinus-coggygria
7643,28009,12292,1432,364,122,385,724,154,23,1,319,4430,113157,2175,7,3,4,266059,8443,792,25,7,30,0,270489,Cotinus-coggygria
6113,15090,4613,574,428,143,388,616,282,17,5,355,4030,101489,1347,1,1,3,261575,6776,221,12,1,9,0,265605,Cotinus-coggygria
27296,23548,4936,693,315,182,804,699,180,8,0,331,4142,6089,558,0,15,0,217214,90792,136,327,3,1,0,221356,Cotinus-coggygria
41351,42832,3938,893,177,40,324,924,165,37,8,338,4396,36870,353,6,0,58,264517,84423,1854,2,5,9,0,268913,Cotinus-coggygria
13650,33822,6052,604,430,289,573,646,194,20,0,344,4303,105268,847,0,5,10,248150,14482,323,41,2,19,0,252453,Cotinus-coggygria
656,15599,15094,473,982,21,1685,699,503,10,0,1061,4549,120633,6940,3,79,41,318855,667,21,1000,2,5,0,323404,Cotinus-coggygria
2209,16524,11541,744,373,85,1127,787,188,13,8,516,4314,145866,6479,3,143,12,202869,2312,110,322,2,0,0,207183,Cotinus-coggygria
23909,23837,4605,697,343,100,493,728,197,4,0,264,4084,18119,1019,3,3,20,214765,77453,97,154,5,17,0,218849,Cotinus-coggygria
25843,24767,3642,664,319,51,575,652,234,7,2,372,4101,8473,837,6,7,0,212214,80367,12,131,3,8,1,216315,Cotinus-coggygria
34986,49864,4212,625,422,197,527,699,174,19,4,348,4444,64492,752,1,22,7,270667,45789,309,54,13,9,0,275111,Cotinus-coggygria
2841,23493,15745,1303,239,89,364,851,153,31,5,222,4222,90098,5985,10,3,11,248628,3018,955,10,15,20,0,252850,Cotinus-coggygria
37537,52109,6391,914,468,267,553,856,236,31,3,395,4508,53250,1161,17,15,13,270472,52593,206,28,4,22,0,274980,Cotinus-coggygria
13201,25408,5289,668,276,116,348,898,221,23,11,435,4547,113758,1037,1,1,96,279488,18359,784,0,2,11,0,284035,Cotinus-coggygria
3348,12196,5755,601,324,89,356,708,274,18,5,360,4286,121176,868,2,0,29,253869,4450,473,1,1,19,0,258155,Cotinus-coggygria
911,13668,10387,754,521,111,439,730,298,25,1,402,4437,121272,2092,6,0,25,292967,1087,285,3,9,37,0,297404,Cotinus-coggygria
2841,13796,7507,633,315,78,409,723,266,37,9,366,4487,137202,1332,3,0,9,291979,3422,614,12,11,8,1,296466,Cotinus-coggygria
16494,29301,6351,661,458,47,725,893,262,7,2,554,4354,80187,1590,3,15,36,251201,21164,67,105,5,5,0,255555,Cotinus-coggygria
20617,37034,4726,516,408,270,675,623,203,19,1,389,4207,63164,433,0,12,6,245765,23267,206,132,8,10,1,249972,Cotinus-coggygria
3147,10248,3759,527,547,71,683,619,205,6,3,378,4141,110370,389,1,10,3,247270,3231,73,440,4,7,2,251411,Cotinus-coggygria
6176,19951,10631,631,190,29,243,804,147,41,4,262,4166,70369,3198,1,0,36,287632,7588,1084,0,9,23,0,291798,Cotinus-coggygria
19662,33678,3213,625,417,0,733,774,346,0,1,503,4336,97737,578,4,35,7,265726,22883,3,481,8,9,0,270062,Cotinus-coggygria
24342,27651,3099,515,307,1,455,590,202,0,0,277,4036,31375,403,0,5,5,204452,63556,6,151,0,11,0,208488,Cotinus-coggygria
20428,19580,3012,732,541,24,652,891,317,10,2,357,4018,5310,354,4,9,50,222229,77195,44,195,6,17,0,226247,Cotinus-coggygria
9003,19912,6482,648,303,135,342,813,240,19,2,370,4046,101495,2679,0,0,24,211443,12514,538,1,8,24,0,215489,Cotinus-coggygria
92,12944,11519,305,359,13,881,497,266,6,1,587,4260,112242,3289,0,11,0,227960,92,20,416,8,4,4,232220,Cotinus-coggygria
17683,29923,5505,668,355,133,546,949,218,41,2,437,4087,57286,1264,2,0,46,208854,22697,325,1,10,6,0,212941,Cotinus-coggygria
29921,33270,6142,795,262,132,765,807,167,12,1,310,4149,35501,1213,13,21,16,196553,63873,32,237,4,15,0,200702,Cotinus-coggygria
6254,19422,7774,550,423,78,487,905,394,33,1,665,4909,184101,1451,0,0,42,318070,7721,362,8,6,16,0,322979,Cotinus-coggygria
3468,16993,11836,819,184,23,385,1077,195,22,13,388,4271,95309,6553,15,0,81,244373,4794,442,2,23,19,0,248644,Cotinus-coggygria
692,13343,12697,700,435,295,530,957,244,32,13,533,4285,122781,9654,4,2,32,251461,744,653,55,11,17,0,255746,Cotinus-coggygria
408,13815,12484,612,460,66,1520,704,230,11,3,567,4168,84756,3792,6,174,3,222445,413,32,401,1,2,4,226613,Cotinus-coggygria
19981,37913,5220,654,402,344,339,677,160,46,6,304,4053,47996,596,3,0,5,228403,22286,430,0,12,10,1,232456,Cotinus-coggygria
293,11911,9270,316,450,33,794,446,275,4,0,519,4210,120450,1881,0,7,0,232438,306,21,431,0,2,2,236648,Cotinus-coggygria
7057,29544,18016,807,128,71,260,751,73,26,5,216,4242,50530,4870,11,2,3,260259,8219,941,0,22,13,0,264501,Cotinus-coggygria
38714,49493,4508,611,259,144,266,566,178,34,5,299,4300,48479,718,5,0,4,250594,59395,673,0,0,1,0,254894,Cotinus-coggygria
4653,17158,7433,816,485,98,1201,914,216,13,3,501,4450,159978,1080,2,310,67,241006,5738,138,152,1,3,1,245456,Cotinus-coggygria
9641,20798,5326,637,221,12,226,642,141,35,10,266,4240,103105,894,2,0,6,265849,11623,1768,0,19,6,0,270089,Cotinus-coggygria
1354,14892,11977,521,262,133,369,690,213,29,1,332,4454,128557,4792,3,0,5,278377,1684,938,9,5,7,0,282831,Cotinus-coggygria
11785,27563,7884,951,346,113,548,900,235,9,10,331,4505,104026,1075,1,56,9,333559,13086,362,90,8,24,0,338064,Cotinus-coggygria
1629,13718,8469,523,334,142,393,577,259,21,0,388,4542,170910,1924,1,2,4,261102,1791,491,15,2,8,0,265644,Cotinus-coggygria
21511,37289,5489,771,738,60,819,1033,333,12,7,558,4305,76188,648,9,50,63,270320,26909,30,279,13,17,1,274625,Cotinus-coggygria
7550,24091,9950,1040,345,163,328,623,202,37,0,293,4311,127077,2033,10,0,1,231350,8708,259,0,4,6,0,235661,Cotinus-coggygria
6568,23374,8947,566,414,39,1089,562,155,13,0,370,4053,86887,1150,4,97,1,213871,7251,43,264,3,1,0,217924,Cotinus-coggygria
43984,46099,5113,901,197,28,247,768,165,38,4,243,4351,26784,650,0,0,20,269394,79883,1710,0,3,13,0,273745,Cotinus-coggygria
1849,14698,8761,961,993,72,982,951,461,8,2,448,4226,114421,1093,43,158,44,253893,1914,18,130,7,29,0,258119,Cotinus-coggygria
27897,36622,4852,764,384,212,1116,715,144,28,6,385,4048,25373,563,5,50,5,213496,37854,92,214,1,1,12,217544,Cotinus-coggygria
18183,33390,8325,727,277,199,293,661,168,38,3,278,4286,90963,2232,2,0,7,271460,22793,1189,0,4,8,0,275746,Cotinus-coggygria
1391,15051,11753,529,310,97,330,653,251,24,5,387,4467,148798,4679,0,0,9,268456,1832,593,42,7,6,0,272923,Cotinus-coggygria
32641,64040,8018,820,514,339,1069,672,209,10,2,339,4461,98767,795,0,118,14,210312,36095,134,79,7,2,1,214773,Cotinus-coggygria
24530,22156,3373,2112,759,8,608,1782,409,11,0,374,5217,8914,748,88,23,177,389444,68332,0,46,21,118,1,394661,Crataegus-azarolus
14285,21433,3958,1424,661,10,641,1505,547,9,1,401,4563,21913,1132,38,13,38,338215,22597,8,24,2,25,0,342778,Crataegus-azarolus
21857,19112,4577,2770,761,2,695,2681,671,10,0,547,5420,3783,1085,104,141,263,404173,72817,12,113,12,155,0,409593,Crataegus-azarolus
17196,14638,2772,2199,708,6,648,1536,364,18,0,376,4869,5088,669,101,120,4,353645,58518,1,9,3,27,0,358514,Crataegus-azarolus
19956,23820,6293,2127,779,24,548,2111,454,10,1,354,4564,11885,1999,113,152,593,352637,54440,7,27,19,142,2,357201,Crataegus-azarolus
14300,19558,4989,1652,717,11,838,1733,628,7,0,505,4929,15276,1836,30,178,50,405600,27680,26,80,0,33,0,410529,Crataegus-azarolus
13404,17908,6471,2243,1225,12,1041,2385,604,11,3,624,4772,12355,2761,354,175,1324,324991,40025,9,84,43,288,14,329763,Crataegus-azarolus
13233,13143,3233,1979,647,2,516,1949,393,5,0,386,4612,5694,801,116,7,327,369788,43374,0,9,16,111,8,374400,Crataegus-azarolus
11357,17682,4419,1920,820,1,693,1510,356,10,0,294,4426,21245,1382,314,116,66,337275,17729,0,5,8,65,2,341701,Crataegus-azarolus
17141,18666,4550,2768,792,5,548,1800,449,17,0,440,5133,7733,1459,263,31,112,414754,41147,3,7,18,71,2,419887,Crataegus-azarolus
19772,16582,3022,1771,612,23,539,1888,491,10,0,354,4865,4571,451,13,11,158,327908,73198,0,61,6,95,3,332773,Crataegus-azarolus
17929,23969,6223,2330,991,8,865,2320,573,25,0,555,4836,20808,2278,169,151,402,319107,45228,38,79,9,136,14,323943,Crataegus-azarolus
12566,15382,3762,1609,763,4,581,1805,390,15,1,369,4419,9530,981,22,61,253,318321,27031,0,19,17,175,0,322740,Crataegus-azarolus
19071,18263,4519,3004,890,8,798,2551,561,40,0,602,5265,6635,1541,196,150,312,402899,65162,4,18,11,87,0,408164,Crataegus-azarolus
24673,27110,4582,1995,706,23,753,1839,464,15,1,462,5039,13494,1250,95,138,129,386807,51600,0,54,24,99,2,391846,Crataegus-azarolus
23096,17780,2937,2276,575,17,538,1704,364,8,0,385,4652,3347,666,70,124,50,290864,76663,1,91,5,26,4,295516,Crataegus-azarolus
19595,26052,5714,2204,1079,51,964,2361,568,40,0,667,5398,32346,3139,56,132,189,435245,37847,35,46,0,76,36,440643,Crataegus-azarolus
18379,24870,6510,2643,1071,0,917,2286,586,9,0,504,4841,21399,2797,338,257,672,360761,42857,0,20,21,141,0,365602,Crataegus-azarolus
9143,18674,7848,1657,1184,49,1214,2122,625,19,1,513,4719,20570,2936,111,154,496,331711,15861,320,29,20,142,6,336430,Crataegus-azarolus
29713,37309,9913,2657,1090,0,825,2673,814,41,0,652,5409,22796,2444,361,26,1595,395293,90299,661,2,22,213,1,400702,Crataegus-azarolus
24537,24817,4384,2044,901,12,832,1833,458,17,1,485,5082,12541,747,96,75,304,349809,67287,0,51,13,61,13,354891,Crataegus-azarolus
20121,22450,6328,2569,1258,0,1168,2579,720,39,1,753,5036,10645,2510,534,293,1509,371266,60285,0,35,32,192,2,376302,Crataegus-azarolus
18096,21702,5340,1967,1169,13,990,2098,660,29,1,596,5108,17509,1416,76,181,217,339699,45100,10,27,1,36,4,344807,Crataegus-azarolus
19345,18928,4178,1893,886,18,817,1878,514,3,0,532,5173,8623,975,31,118,141,372547,65743,0,17,15,69,3,377720,Crataegus-azarolus
16884,21451,5857,2338,705,6,671,1767,381,12,0,295,4584,10117,1533,150,119,125,325570,33709,2,74,5,71,0,330154,Crataegus-azarolus
12443,15814,3980,1995,968,3,674,1676,456,2,0,425,4563,14669,1275,95,102,20,309160,24763,0,9,5,61,2,313723,Crataegus-azarolus
14772,17289,4247,1945,788,0,776,2018,477,5,0,492,4603,10407,875,59,142,321,321031,43083,13,29,4,118,11,325634,Crataegus-azarolus
11937,12250,4132,2026,870,9,674,1902,489,11,0,461,4525,4952,874,86,78,247,310104,51124,2,62,18,115,1,314629,Crataegus-azarolus
16388,17948,5032,2190,838,7,777,1724,444,5,0,379,4850,10716,1657,22,57,14,323031,56519,0,62,3,44,0,327881,Crataegus-azarolus
12091,13842,3597,1848,811,0,605,1589,419,6,0,376,4384,9025,1417,39,0,104,334828,27834,9,3,1,36,0,339212,Crataegus-azarolus
21717,27187,3583,1355,847,0,712,1576,803,3,0,751,5792,47482,1284,71,0,76,382815,38215,113,0,3,26,0,388607,Crataegus-monogyna
21437,21568,2701,1648,699,0,512,1995,647,4,0,338,4929,18276,1568,17,0,406,355429,67379,8,5,8,137,0,360358,Crataegus-monogyna
69,17803,17797,1045,976,0,1260,1637,654,14,0,805,4979,41762,16493,54,130,208,363030,72,29,48,9,58,0,368009,Crataegus-monogyna
717,12262,31498,13480,1071,0,1228,1625,245,12,0,846,5022,4644,68836,9916,175,11,247950,941,3,21,0,0,0,252972,Crataegus-monogyna
17175,24939,4695,1375,1035,0,768,1539,786,3,0,662,5791,53290,1344,30,8,32,382956,28379,0,25,1,41,0,388747,Crataegus-monogyna
4427,18323,13777,1251,995,21,1364,2263,883,33,2,1196,4880,43842,11524,168,56,887,298345,8721,81,72,7,73,0,303225,Crataegus-monogyna
827,15764,16108,1139,957,8,1516,1815,647,60,2,1150,5601,58109,13887,5,49,115,318885,1104,454,159,4,54,0,324486,Crataegus-monogyna
21354,49798,105520,26096,508,0,1393,5086,631,70,3,559,7741,2166,68451,4978,267,1102,331991,24274,238,1,13,164,0,339732,Crataegus-monogyna
3216,18199,13434,1293,856,0,1191,2014,722,1,0,1237,5514,75501,6949,62,28,308,397252,4379,14,66,12,98,0,402766,Crataegus-monogyna
1331,10696,9621,1097,932,0,873,1295,417,0,0,474,4547,44541,7430,57,160,11,324782,1721,99,33,12,40,0,329329,Crataegus-monogyna
29,1418,12521,6209,2891,0,2105,1743,628,20,0,1565,5827,62,85080,1005,217,4,272713,29,33,37,0,0,0,278540,Crataegus-monogyna
14020,19764,4396,1700,850,0,1016,2614,1005,36,0,900,5053,28838,1490,243,14,1028,328367,27096,7,0,22,231,0,333420,Crataegus-monogyna
4396,14999,8217,1401,770,7,933,1714,483,8,0,728,5017,68072,4298,19,20,138,293184,6080,75,11,2,50,0,298201,Crataegus-monogyna
12015,13596,3310,1128,573,0,877,1703,846,3,1,863,4935,15385,682,12,25,314,303450,34442,2,44,3,45,0,308385,Crataegus-monogyna
1593,13295,12197,1092,864,0,1398,2065,738,53,0,1243,4575,45402,11335,338,231,1590,366941,1905,47,88,28,191,0,371516,Crataegus-monogyna
1627,12596,14144,900,852,208,1520,1621,607,67,2,1228,5098,54031,22552,34,110,218,365891,2751,420,287,7,14,0,370989,Crataegus-monogyna
200,15530,29581,7575,1878,2,2249,2116,630,51,0,1583,5672,9479,76354,2230,206,17,281842,283,0,21,0,0,0,287514,Crataegus-monogyna
5818,12549,5901,1216,662,9,724,1536,419,9,0,612,4557,43131,4272,12,6,126,334032,10661,23,74,12,98,0,338589,Crataegus-monogyna
6309,17223,9853,1795,1308,23,1072,2026,671,2,0,815,5081,56334,5312,112,67,565,311813,9696,275,1,22,138,0,316894,Crataegus-monogyna
18820,26127,7124,1480,1163,0,1032,2376,1314,1,0,1193,6127,46221,2915,22,6,383,403329,40469,0,27,10,112,0,409456,Crataegus-monogyna
52954,21646,949,46507,2007,0,902,4584,374,18,7,293,6821,83,9,7178,139,1071,283678,62608,32,0,30,138,0,290499,Crataegus-monogyna
0,65,5400,2794,1997,0,1818,825,456,1,0,1025,5000,2,78634,249,182,0,277497,0,0,85,0,0,1,282497,Crataegus-monogyna
611,9572,12358,884,745,69,1321,1720,628,55,1,988,4626,26927,21387,14,60,550,349240,1232,425,39,9,62,2,353866,Crataegus-monogyna
12,1665,15169,1757,4089,0,2753,1574,482,105,0,1481,5619,519,56398,155,321,392,445944,12,0,71,7,17,0,451563,Crataegus-monogyna
248,10860,13577,1132,1148,3,1447,1705,650,19,0,842,4277,31081,40258,196,185,1226,325103,324,63,143,11,143,0,329380,Crataegus-monogyna
373,4726,25863,13422,6458,21,5517,4344,1686,11,0,1662,6369,2917,86577,6806,4045,880,269826,400,2,7149,5,92,2,276195,Crataegus-monogyna
8201,22412,13010,1533,1160,0,1293,2251,761,20,0,1002,5224,61859,10430,195,87,1188,348987,15155,20,81,8,92,0,354211,Crataegus-monogyna
22901,51125,9105,28577,1452,0,769,2220,349,4,2,255,5459,14349,76,6478,171,341,250533,24825,0,0,2,30,0,255992,Crataegus-monogyna
0,37,5256,1734,1492,37,1489,857,293,29,0,914,4607,0,73111,83,22,0,207470,0,0,17,0,0,0,212077,Crataegus-monogyna
21997,27289,42921,9387,285,0,409,2395,293,12,0,323,4848,929,8390,1761,178,93,199902,23562,109,0,1,53,0,204750,Crataegus-monogyna
549,6077,4683,1181,717,0,715,1166,398,6,0,491,4875,66708,1522,44,62,0,387893,587,15,18,4,13,0,392768,Crataegus-monogyna
18240,27760,5413,1573,1074,0,902,1731,985,0,0,872,6407,54164,1367,31,41,40,390576,29227,0,17,0,19,0,396983,Crataegus-monogyna
16493,21153,5787,1383,923,0,819,1729,867,0,0,896,5534,23839,1883,32,13,62,336882,42847,0,7,2,40,0,342416,Crataegus-monogyna
16833,50407,29406,44943,3008,0,1157,2881,414,13,4,322,6556,6679,389,5475,223,206,336700,17242,19,0,7,42,0,343256,Crataegus-monogyna
2662,13800,10001,1531,1006,9,1138,2143,576,12,2,814,5002,66888,5808,51,64,543,279678,4713,3,30,20,116,0,284680,Crataegus-monogyna
9,96,11398,1256,4088,36,2391,981,666,7,0,1412,5637,1,90228,36,146,4,314220,9,1,65,0,0,1,319857,Crataegus-monogyna
2647,11029,6002,1045,813,0,950,1413,499,9,0,707,4700,65718,1581,52,25,82,303106,3479,1,18,2,32,0,307806,Crataegus-monogyna
24702,25351,3257,1627,954,0,830,2129,839,2,0,689,5385,24882,1581,6,27,233,349120,58837,7,41,0,82,0,354505,Crataegus-monogyna
22017,27764,5994,1667,771,0,656,1669,648,4,1,560,5844,45191,1729,33,3,41,343509,46110,48,24,5,35,0,349353,Crataegus-monogyna
18107,27202,6569,1803,1245,0,885,2051,1036,0,0,869,6092,55899,2376,62,32,169,372404,30537,0,33,1,76,0,378496,Crataegus-monogyna
10612,18968,8744,1893,1321,0,1388,2198,538,12,1,1112,5203,40004,4268,360,197,625,298907,24032,82,103,27,121,0,304110,Crataegus-monogyna
55,3269,12618,4518,4157,0,2067,1496,313,92,2,885,4747,1083,35790,1262,315,156,388993,55,0,26,0,0,1,393740,Crataegus-monogyna
1234,13917,13775,1193,839,0,988,1568,491,6,2,700,4904,36696,17733,149,95,63,320060,2116,3,42,7,77,0,324964,Crataegus-monogyna
6996,18634,11887,1221,825,8,1137,2124,642,15,0,1025,4994,37977,7505,73,23,713,267733,17178,4,38,16,82,1,272727,Crataegus-monogyna
2052,13083,14226,1694,1083,23,1745,2195,745,23,0,1138,4964,33541,22742,317,216,1115,354363,3104,72,62,16,162,0,359327,Crataegus-monogyna
1250,14355,13924,1249,1069,2,1595,1954,589,15,0,1095,5356,60811,10070,69,71,380,343462,1945,18,69,19,46,0,348818,Crataegus-monogyna
854,14540,15775,1177,838,16,1281,1825,596,104,0,889,5316,59638,16650,22,59,249,332710,1098,1257,81,7,43,3,338026,Crataegus-monogyna
4689,16355,9893,1219,1576,0,1657,2088,694,16,0,1310,5223,53278,4405,28,220,412,337341,8223,0,91,10,86,1,342564,Crataegus-monogyna
13902,16112,3939,1546,855,0,1004,2215,898,2,0,685,4925,17440,1181,94,17,903,325137,41883,16,7,16,167,0,330062,Crataegus-monogyna
1938,11384,8297,1384,817,0,995,1610,448,5,0,750,4880,54862,4131,203,36,130,306570,3084,0,82,19,70,0,311450,Crataegus-monogyna
11692,17543,7431,1089,1120,0,1358,1842,952,3,0,1114,5230,22891,3135,4,29,430,309061,23549,13,41,1,32,0,314291,Crataegus-monogyna
650,17284,18554,1170,676,69,1250,1814,418,105,0,969,5238,63380,22131,28,16,165,383880,962,733,79,24,68,0,389118,Crataegus-monogyna
329,7179,11558,819,843,92,1665,1974,636,146,1,1182,4661,11183,25401,189,152,1731,389813,467,208,131,24,135,1,394474,Crataegus-monogyna
13676,24378,8279,1481,957,1,1144,2291,812,22,1,886,5342,58213,4457,138,22,993,487701,25045,8,0,6,66,3,493043,Crataegus-monogyna
20823,43435,75884,18081,423,7,909,4089,490,67,4,541,6538,2275,30226,2184,139,722,246553,22702,493,0,19,74,0,253091,Crataegus-monogyna
1565,11179,9385,1292,881,8,1095,1872,678,35,0,899,4997,68875,6340,120,138,328,353083,2588,99,14,23,79,0,358080,Crataegus-monogyna
2648,14839,12693,2501,1303,4,1473,2550,870,36,0,1106,5796,64063,12831,358,116,986,444167,3274,138,68,7,174,0,449963,Crataegus-monogyna
4512,16466,11597,1490,1018,9,1623,2241,740,20,0,1132,5753,75777,9963,32,98,394,358898,6060,91,148,14,59,0,364651,Crataegus-monogyna
4,259,11173,10657,2171,0,2723,2648,728,58,0,1858,4985,30,91578,6568,745,371,279025,4,0,20,0,0,2,284010,Crataegus-monogyna
15670,22249,6170,28441,1854,0,608,2943,279,13,5,144,4829,1537,14,11804,5,817,167746,17959,8,0,29,74,0,172575,Crataegus-monogyna
1569,7817,5333,849,644,0,813,1039,429,3,1,654,4490,41297,1511,24,21,16,243062,2076,2,39,1,14,0,247552,Crataegus-monogyna
207,4752,6755,160,123,5,680,243,176,0,0,519,3407,8234,7604,0,10,0,252747,252,0,671,0,0,14,256154,Daphne-cneorum
1534,5049,5649,302,135,4,566,384,167,4,0,454,3461,5226,5412,1,12,0,262642,2607,23,557,0,3,26,266103,Daphne-cneorum
999,4844,6065,438,212,23,615,710,243,14,0,402,3427,5282,6571,1,25,64,253715,1919,38,761,0,43,4,257142,Daphne-cneorum
367,6328,8731,185,126,35,629,228,206,2,0,477,3477,4909,5817,0,11,0,275841,591,0,789,0,0,11,279318,Daphne-cneorum
1977,3353,2211,704,297,34,457,915,311,8,0,365,3479,12438,1681,359,59,651,291125,5389,57,191,0,120,3,294604,Daphne-cneorum
945,4814,5083,379,194,2,469,562,240,1,0,372,3432,10774,5577,1,15,20,257891,1757,1,508,0,15,9,261323,Daphne-cneorum
2274,5349,2728,153,186,12,593,208,193,0,0,485,3458,15079,1174,0,11,0,277362,3194,0,361,0,0,10,280820,Daphne-cneorum
3078,5861,2780,208,149,6,481,382,151,4,0,363,3392,12210,1769,0,14,1,250244,4594,0,357,0,2,26,253636,Daphne-cneorum
1745,4342,3313,578,301,7,467,798,276,9,0,406,3435,10688,3252,181,77,375,261026,5288,10,327,0,30,12,264461,Daphne-cneorum
1475,3534,3030,552,316,68,528,768,290,20,0,492,3472,12241,2507,210,62,449,273123,4549,5,366,0,73,1,276595,Daphne-cneorum
1385,3908,3390,375,175,54,587,509,184,11,0,424,3459,10579,2346,17,4,43,307736,2948,11,344,0,8,0,311195,Daphne-cneorum
1539,5071,4320,279,151,38,558,566,219,5,0,505,3621,12197,2875,0,6,23,272088,2623,0,456,0,10,4,275709,Daphne-cneorum
1724,4928,3814,307,186,36,539,389,202,3,0,403,3397,9480,4350,2,10,94,242735,3149,0,459,0,5,7,246132,Daphne-cneorum
1939,6360,5017,260,186,17,604,330,168,8,0,389,3399,8109,3042,0,26,3,254347,3096,13,391,0,2,4,257746,Daphne-cneorum
